title,subtitle,link
'OUR SKIPPER',Coleman’s incredible gesture while being stretchered off sums up ‘warrior’,https://www.thesun.co.uk/sport/22224600/seamus-colemans-injury-stretchered-off-everton/
NO CHANTS,Jurgen Klopp begs Liverpool fans to STOP singing his name during games,https://www.thesun.co.uk/sport/22223867/jurgen-klopp-liverpool-fans-chanting/
NORTH LONDON CALLING,Tottenham ‘to go toe-to-toe with arch-rivals Arsenal for England star’,https://www.thesun.co.uk/sport/22225054/tottenham-arsenal-transfer-marc-guehi/
'YOU CAN'T SAY THAT!',Carragher hilariously calls out Schmeichel on MNF over Leicester rant,https://www.thesun.co.uk/sport/22222837/jamie-carragher-kasper-schmeichel-skysports/
LONDON'S CALLING,Betting tips for Arsenal vs Chelsea: Premier League preview and best odds,https://www.thesun.co.uk/sport/22178647/arsenal-chelsea-betting-tips-premier-league-preview-odds/
MIKE FLOP,Fans in hysterics at Keane’s bizarre explanation as he tries to argue penalty,https://www.thesun.co.uk/sport/22219190/michael-keane-leicester-penalty/
NOT PRETTY IN PINK,Watch Calvert-Lewin's miss from a YARD as fans say 'my nan would score',https://www.thesun.co.uk/sport/22218584/calvert-lewin-worst-miss/
INJURY BLOW,Everton captain Coleman rushed to hospital after suffering horror knee injury,https://www.thesun.co.uk/sport/22218600/everton-seamus-coleman-stretchered-off-injury/
TOP 40,Football free bets: Get £40 bonus when you stake £10 with William Hill,https://www.thesun.co.uk/sport/20695257/william-hill-free-bets-sign-up-bonus-offer-register/
TOP DEAL,Get money back up to £40 if your first bet loses PLUS £10 casino bonus with Unibet,https://www.thesun.co.uk/sport/22176588/money-back-first-bet-casino-bonus-unibet-offer/
BIG DEAL,Premier League: Claim £30 in free football accas when you bet £10 with Ladbrokes,https://www.thesun.co.uk/sport/betting-tips/19780272/ladbrokes-football-free-bets/
SHOCK TUCH,Watch Tuchel bizarrely appear to pull down Mane’s PANTS during Bayern training,https://www.thesun.co.uk/sport/22220184/thomas-tuchel-sadio-mane-pants-bayern-munich-training/
'NOT READY',Petit blasts Arsenal transfer activity and questions 'mistake' of signing flop,https://www.thesun.co.uk/sport/22225471/arsenal-emmanuel-petit-blast-transfer-fabio-vieira/
'AS HE SHOULD',Wrexham fans love Reynolds' response after being asked about Met Gala snub,https://www.thesun.co.uk/sport/22223989/reynolds-snub-met-gala-wrexham-parade/
ELL AND BACK,Woods fights back tears of laughter after ‘kinky’ wife remark in Leeds rant,https://www.thesun.co.uk/sport/22224234/laura-woods-laughter-tears-talksport-leeds-fan-rant/
ROLEX,Win an incredible Rolex or £13k cash alternative from just 89p,https://www.thesun.co.uk/sport/betting-tips/18922011/win-rolex-7dp/
TOP MARCS,Fans ‘think they’re in love’ as ex-Barca ace’s Wag strips to bikini,https://www.thesun.co.uk/sport/22220538/barcelona-jessica-goicoechea-bartra-wag/
FRIENDS REUNITED,Man Utd fans love to see Rashford and Lingard partying together again,https://www.thesun.co.uk/sport/22222292/rashford-lingard-man-utd-nottingham-forest/
SKY'S THE LIMIT,Graeme Souness reveals favourite pundits after Sky Sports retirement,https://www.thesun.co.uk/sport/22223819/graeme-souness-pundits-skys-sports-retirement/
GAR BLIMEY,Ryan Reynolds & Rob McElhenney insist Wrexham interest in Bale transfer is REAL,https://www.thesun.co.uk/sport/22221146/reynolds-mcelhenney-wrexham-bale-transfer-foster/
TAKE THE IC,Icardi linked with Prem transfer despite wages more than DOUBLE highest earner,https://www.thesun.co.uk/sport/22224911/mauro-icardi-fulham-transfer-wanda-nara/
RUUD MOVES,Watch Van Nistelrooy bust out dance moves in dressing room party after cup win,https://www.thesun.co.uk/sport/22215385/van-nistelrooy-dances-psv-dutch-cup-ajax/
SEEING RED,FA told to hit Liverpool with POINTS DEDUCTION after Klopp referee claims,https://www.thesun.co.uk/sport/22217922/fa-told-liverpool-points-deduction-klopp-referee-claims/
CLIFFEHANGER,Kasper Schmeichel lifts lid on playing under Man Utd bidder Sir Jim Ratcliffe,https://www.thesun.co.uk/sport/22223312/kasper-schmeichel-nice-man-utd-sir-jim-ratcliffe/
STELL-AR CHOICE,Shock Sky favourite in talks to replace Jeff Stelling on Soccer Saturday,https://www.thesun.co.uk/sport/22217595/adam-smith-smithy-replace-jeff-stelling-soccer-saturday/
FREE SPINS,Free spins bonuses for UK players in 2023: Get the best free spin offers,https://www.thesun.co.uk/betting/22174907/free-spins-bonuses/
