title,subtitle,link
INJURY BLOW,Everton captain Coleman rushed to hospital after suffering horror knee injury,https://www.thesun.co.uk/sport/22218600/everton-seamus-coleman-stretchered-off-injury/
NOT PRETTY IN PINK,Watch Calvert-Lewin's miss from a YARD as fans say 'my nan would score',https://www.thesun.co.uk/sport/22218584/calvert-lewin-worst-miss/
STELL-AR CHOICE,Shock Sky favourite in talks to replace Jeff Stelling on Soccer Saturday,https://www.thesun.co.uk/sport/22217595/adam-smith-smithy-replace-jeff-stelling-soccer-saturday/
RUUD MOVES,Watch Van Nistelrooy bust out dance moves in dressing room party after cup win,https://www.thesun.co.uk/sport/22215385/van-nistelrooy-dances-psv-dutch-cup-ajax/
SEEING RED,FA told to hit Liverpool with POINTS DEDUCTION after Klopp referee claims,https://www.thesun.co.uk/sport/22217922/fa-told-liverpool-points-deduction-klopp-referee-claims/
DEVIL IN THE DETAIL,Man Utd have 'secret weapon' in Bellingham transfer race against City,https://www.thesun.co.uk/sport/22216688/man-utd-bellingham-transfer-city-real-madrid/
NO MOR,Former Chelsea assistant Jody Morris SACKED by Swindon after just three months,https://www.thesun.co.uk/sport/22217230/chelsea-manager-jody-morris-sacked-swindon/
COMP,"Win an Audi R8 or £92,500 cash from just 89p with our special discount code",https://www.thesun.co.uk/sport/betting-tips/18918779/win-car-competition-7dp/
TOP 40,Football free bets: Get £40 bonus when you stake £10 with William Hill,https://www.thesun.co.uk/sport/20695257/william-hill-free-bets-sign-up-bonus-offer-register/
TOP DEAL,Get money back up to £40 if your first bet loses PLUS £10 casino bonus with Unibet,https://www.thesun.co.uk/sport/22176588/money-back-first-bet-casino-bonus-unibet-offer/
FREE BETS,All the best free bets & sign up offers for punters right here,https://www.thesun.co.uk/betting/20812234/free-bets/
GUNNER LEAVE,Arsenal fans say 'such a shame' with top talent set to go after eight years,https://www.thesun.co.uk/sport/22215349/arsenal-fans-transfer-charlie-patino-transfer/
WILL TO WIN,Arsenal scouting England and Premier League ace as backup for William Saliba,https://www.thesun.co.uk/sport/22218324/arsenal-scouting-guehi-transfer-saliba-injury-concerns/
TELL ALL,Forgotten Man Utd star 'could be reunited with Ronaldo at Al-Nassr',https://www.thesun.co.uk/sport/22217984/man-utd-cristiano-ronaldo-al-nassr-alex-telles/
'PERFECT FOR SPURS',Richarlison has more yellows for celebrating goals than scoring them,https://www.thesun.co.uk/sport/22214998/tottenham-richarlison-yellow-cards-shirt-goal-celebration/
WARNING,Martin Tyler spoken to by Sky Sports after he is slammed for 'racist' Son remark,https://www.thesun.co.uk/sport/22216797/martin-tyler-tottenham-son/
'LOVE IT',Piers Morgan absolutely loving Mikel Arteta quote - despite title race collapse,https://www.thesun.co.uk/sport/22216294/arsenal-news-mikel-arteta-piers-morgan/
FEELING BLUE,Chelsea 'face staff exodus' if they push through firesale of homegrown stars,https://www.thesun.co.uk/sport/22214810/chelsea-staff-exodus-transfer-homegrown-mount/
ROLEX,Win an incredible Rolex or £13k cash alternative from just 89p,https://www.thesun.co.uk/sport/betting-tips/18922011/win-rolex-7dp/
CON-GRAZ,Ex-Premier League star's model Wag called 'most beautiful woman in world',https://www.thesun.co.uk/sport/22216947/graziano-pelle-wife-viktoria-varga-model-bikini/
